id,source_name,external_id,category,title,url,reward_amount,reward_currency,reward_evidence,open_date,close_date,status,eligibility,kyc_required,capital_required,candidate_score,verification_status
132,Grants.gov API,361238,grant,Artificial Intelligence and Cybersecurity Education Innovation and Scholarship for Service (CyberAI SFS),https://www.grants.gov/search-results-detail/361238,,USD,,02/04/2026,04/05/2027,posted,,1,0,93.0,staged
44,Grants.gov API,351404,grant,Boosting Innovative GEOINT - Science &amp; Technology Broad Agency Announcement (BIG-ST BAA),https://www.grants.gov/search-results-detail/351404,,USD,,12/15/2023,12/14/2026,posted,,1,0,93.0,staged
16,Grants.gov API,358004,grant,Cybersecurity Innovation for Cyberinfrastructure,https://www.grants.gov/search-results-detail/358004,,USD,,01/04/2025,01/20/2027,posted,,1,0,93.0,staged
126,Grants.gov API,362252,grant,"DoW Military Burn, Technology/Therapeutic Development Award",https://www.grants.gov/search-results-detail/362252,,USD,,05/21/2026,10/21/2026,posted,,1,0,93.0,staged
397,Grants.gov API,360536,grant,Early-Stage Innovative Technology Development for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/360536,,USD,,06/03/2026,11/10/2026,posted,,1,0,93.0,staged
5116,Grants.gov API,356953,grant,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Neurotherapeutic Agent Characterization and In vivo Efficacy Studies (R61/R33 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/356953,,USD,,11/04/2024,10/20/2027,posted,,1,0,93.0,staged
93,Grants.gov API,357194,grant,Investigator Initiated Innovation in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357194,,USD,,11/18/2024,09/07/2027,posted,,1,0,93.0,staged
94,Grants.gov API,357195,grant,Investigator Initiated Innovation in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357195,,USD,,11/18/2024,09/07/2027,posted,,1,0,93.0,staged
6,Grants.gov API,353936,grant,Mathematical Foundations of Artificial Intelligence,https://www.grants.gov/search-results-detail/353936,,USD,,05/02/2024,10/09/2026,posted,,1,0,93.0,staged
92,Grants.gov API,355439,grant,NIH Research Software Engineer (RSE) Award (R50 Clinical Trials Not Allowed),https://www.grants.gov/search-results-detail/355439,,USD,,07/17/2024,12/04/2026,posted,,1,0,93.0,staged
213,Grants.gov API,359758,grant,NIH Small Business Innovation Research (SBIR) Phase IIB Strategic Breakthrough Award (Parent [R44] Clinical Trial Optional),https://www.grants.gov/search-results-detail/359758,,USD,,05/28/2026,04/05/2029,posted,,1,0,93.0,staged
216,Grants.gov API,359757,grant,NIH Small Business Technology Transfer Grant (Parent STTR [R41/R42] Clinical Trial Optional),https://www.grants.gov/search-results-detail/359757,,USD,,05/28/2026,04/05/2027,posted,,1,0,93.0,staged
211,Grants.gov API,359671,grant,"NIH, CDC and FDA Small Business Innovation Research Grant (Parent SBIR [R43/R44] Clinical Trial Optional)",https://www.grants.gov/search-results-detail/359671,,USD,,05/28/2026,04/05/2027,posted,,1,0,93.0,staged
233,Grants.gov API,357498,grant,"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program",https://www.grants.gov/search-results-detail/357498,,USD,,12/03/2024,03/02/2027,posted,,1,0,93.0,staged
212,Grants.gov API,362551,grant,"NSF Small Business Innovation Research / Small Business Technology Transfer Phase I, Phase II, Fast-Track Programs: A Pilot Emphasis on Scientific Instrumentation",https://www.grants.gov/search-results-detail/362551,,USD,,05/22/2026,11/04/2026,posted,,1,0,93.0,staged
