file,category,functions,classes,imports,size_bytes
.venv\Lib\site-packages\bs4\__init__.py,other,27,2,17,44562
.venv\Lib\site-packages\bs4\_deprecation.py,other,8,0,3,2408
.venv\Lib\site-packages\bs4\_typing.py,other,2,1,3,7549
.venv\Lib\site-packages\bs4\_warnings.py,other,0,5,0,4711
.venv\Lib\site-packages\bs4\builder\__init__.py,other,31,5,17,31194
.venv\Lib\site-packages\bs4\builder\_html5lib.py,other,37,6,12,23607
.venv\Lib\site-packages\bs4\builder\_htmlparser.py,other,16,2,11,19866
.venv\Lib\site-packages\bs4\builder\_lxml.py,other,21,2,12,18969
.venv\Lib\site-packages\bs4\css.py,other,11,1,10,12713
.venv\Lib\site-packages\bs4\dammit.py,other,30,4,14,57485
.venv\Lib\site-packages\bs4\diagnose.py,other,18,1,19,7846
.venv\Lib\site-packages\bs4\element.py,other,163,25,18,125805
.venv\Lib\site-packages\bs4\exceptions.py,other,1,3,1,951
.venv\Lib\site-packages\bs4\filter.py,other,31,6,8,29180
.venv\Lib\site-packages\bs4\formatter.py,other,7,3,6,10478
.venv\Lib\site-packages\certifi\__init__.py,other,0,0,1,94
.venv\Lib\site-packages\certifi\__main__.py,other,0,0,2,243
.venv\Lib\site-packages\certifi\core.py,other,5,0,4,3394
.venv\Lib\site-packages\charset_normalizer\__init__.py,other,0,0,7,1638
.venv\Lib\site-packages\charset_normalizer\__main__.py,other,0,0,2,115
.venv\Lib\site-packages\charset_normalizer\api.py,other,4,0,10,43390
.venv\Lib\site-packages\charset_normalizer\cd.py,other,11,0,8,16447
.venv\Lib\site-packages\charset_normalizer\cli\__init__.py,other,0,0,2,144
.venv\Lib\site-packages\charset_normalizer\cli\__main__.py,other,5,1,12,12312
.venv\Lib\site-packages\charset_normalizer\constant.py,other,0,0,5,46679
.venv\Lib\site-packages\charset_normalizer\legacy.py,other,1,1,6,2730
.venv\Lib\site-packages\charset_normalizer\md.py,other,44,11,8,33643
.venv\Lib\site-packages\charset_normalizer\models.py,other,35,3,8,13200
.venv\Lib\site-packages\charset_normalizer\utils.py,other,29,0,11,13992
.venv\Lib\site-packages\charset_normalizer\version.py,other,0,0,1,123
.venv\Lib\site-packages\dateutil\__init__.py,other,2,0,3,620
.venv\Lib\site-packages\dateutil\_common.py,other,6,1,0,932
.venv\Lib\site-packages\dateutil\_version.py,other,0,0,0,166
